"scen_id","n","pi0","power","alpha","method","mean_fdp","exceed","H","delta_ecdf","tau","alpha_cqr","max_weight"
"L2",3,0.4,0.2,0.05,"SCOUT_both",0.213,0.31,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.05,"SCOUT_confOnly",0.215018398268398,0.3,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.1,"BH",0.140833333333333,0.18,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.1,"Storey",0.176937229437229,0.28,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.1,"SCOUT_safe",0.272789682539683,0.4,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.1,"SCOUT_both",0.35825880217633,0.77,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L2",3,0.4,0.2,0.1,"SCOUT_confOnly",0.377233696921256,0.82,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.01,"BH",0,0,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.01,"Storey",0.01,0.01,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.01,"SCOUT_safe",0.01,0.01,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.01,"SCOUT_both",0.04,0.04,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.01,"SCOUT_confOnly",0.045,0.05,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.05,"BH",0.07,0.07,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.05,"Storey",0.08,0.08,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.05,"SCOUT_safe",0.165,0.17,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.05,"SCOUT_both",0.2275,0.24,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.05,"SCOUT_confOnly",0.233333333333333,0.25,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.1,"BH",0.13,0.15,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.1,"Storey",0.155,0.18,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.1,"SCOUT_safe",0.205,0.23,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.1,"SCOUT_both",0.2985,0.35,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L3",3,0.7,0.2,0.1,"SCOUT_confOnly",0.293727106227106,0.35,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.01,"BH",0.02,0.02,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.01,"Storey",0.025,0.03,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.01,"SCOUT_safe",0.035,0.04,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.01,"SCOUT_both",0.0925,0.14,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.01,"SCOUT_confOnly",0.0841666666666667,0.12,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.05,"BH",0.0638333333333333,0.13,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.05,"Storey",0.107158350421508,0.29,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.05,"SCOUT_safe",0.11815873015873,0.27,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.05,"SCOUT_both",0.190340764408063,0.92,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.05,"SCOUT_confOnly",0.192402513364719,0.9,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.1,"BH",0.184558336656615,0.58,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.1,"Storey",0.201598845375035,0.85,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.1,"SCOUT_safe",0.212707393838674,0.69,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.1,"SCOUT_both",0.1982582053446,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L4",5,0.2,0.2,0.1,"SCOUT_confOnly",0.196599587515613,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.01,"BH",0.01,0.01,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.01,"Storey",0.02,0.02,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.01,"SCOUT_safe",0.02,0.02,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.01,"SCOUT_both",0.055,0.07,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.01,"SCOUT_confOnly",0.0583333333333333,0.08,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.05,"BH",0.168095238095238,0.24,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.05,"Storey",0.178404761904762,0.32,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.05,"SCOUT_safe",0.214333333333333,0.32,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.05,"SCOUT_both",0.30651247121527,0.68,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.05,"SCOUT_confOnly",0.312303547425115,0.71,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.1,"BH",0.257886800291212,0.54,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.1,"Storey",0.34310801056096,0.77,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.1,"SCOUT_safe",0.352924702936987,0.74,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.1,"SCOUT_both",0.40971421535731,0.98,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L5",5,0.4,0.2,0.1,"SCOUT_confOnly",0.40244602648492,0.97,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.01,"BH",0.01,0.01,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L6",5,0.7,0.2,0.01,"Storey",0.01,0.01,"0.02,0.05,0.1",0.005,0.7,0.03,3
