"scen_id","n","pi0","power","alpha","method","mean_fdp","exceed","H","delta_ecdf","tau","alpha_cqr","max_weight"
"L4",5,0.2,0.2,0.01,"Storey",0.03,0.05,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L4",5,0.2,0.2,0.01,"SCOUT_safe",0.0453333333333334,0.08,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L4",5,0.2,0.2,0.01,"SCOUT_both",0.0825,0.16,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L4",5,0.2,0.2,0.01,"SCOUT_confOnly",0.0528333333333333,0.12,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L4",5,0.2,0.2,0.05,"BH",0.0888333333333333,0.18,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L4",5,0.2,0.2,0.05,"Storey",0.144209278051383,0.44,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L4",5,0.2,0.2,0.05,"SCOUT_safe",0.167000969618617,0.48,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L4",5,0.2,0.2,0.05,"SCOUT_both",0.215937730702046,0.95,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L4",5,0.2,0.2,0.05,"SCOUT_confOnly",0.198715756669623,0.93,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L4",5,0.2,0.2,0.1,"BH",0.150719836550332,0.46,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L4",5,0.2,0.2,0.1,"Storey",0.193545957063802,0.9,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L4",5,0.2,0.2,0.1,"SCOUT_safe",0.193223258584448,0.83,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L4",5,0.2,0.2,0.1,"SCOUT_both",0.199785448232843,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L4",5,0.2,0.2,0.1,"SCOUT_confOnly",0.196510792965748,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.01,"BH",0.015,0.02,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.01,"Storey",0.025,0.03,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.01,"SCOUT_safe",0.0516666666666667,0.07,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.01,"SCOUT_both",0.105,0.15,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.01,"SCOUT_confOnly",0.107333333333333,0.15,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.05,"BH",0.112119047619048,0.19,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.05,"Storey",0.164349206349206,0.29,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.05,"SCOUT_safe",0.21002380952381,0.36,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.05,"SCOUT_both",0.278797907917103,0.6,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.05,"SCOUT_confOnly",0.28748980323201,0.64,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.1,"BH",0.208306748806749,0.42,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.1,"Storey",0.285450388538156,0.6,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.1,"SCOUT_safe",0.329725121073861,0.73,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.1,"SCOUT_both",0.403044463460828,0.98,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L5",5,0.4,0.2,0.1,"SCOUT_confOnly",0.394282729776395,0.98,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.01,"BH",0.005,0.01,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.01,"Storey",0.015,0.02,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.01,"SCOUT_safe",0.055,0.06,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.01,"SCOUT_both",0.08,0.09,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.01,"SCOUT_confOnly",0.08,0.09,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.05,"BH",0.12,0.12,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.05,"Storey",0.121666666666667,0.13,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.05,"SCOUT_safe",0.2035,0.23,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.05,"SCOUT_both",0.291,0.34,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.05,"SCOUT_confOnly",0.306547619047619,0.34,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.1,"BH",0.271595238095238,0.31,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.1,"Storey",0.304428571428571,0.37,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.1,"SCOUT_safe",0.428209235209235,0.53,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.1,"SCOUT_both",0.483485209235209,0.66,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L6",5,0.7,0.2,0.1,"SCOUT_confOnly",0.480108225108225,0.62,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.01,"BH",0.0808333333333334,0.12,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.01,"Storey",0.140505494505494,0.29,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.01,"SCOUT_safe",0.167223089775721,0.34,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.01,"SCOUT_both",0.177305336697594,0.79,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.01,"SCOUT_confOnly",0.178701989890667,0.85,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.05,"BH",0.197331278496366,0.9,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.05,"Storey",0.200941232787714,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.05,"SCOUT_safe",0.201867661611955,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.05,"SCOUT_both",0.20174033256304,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.05,"SCOUT_confOnly",0.202110290428926,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.1,"BH",0.200977948426157,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.1,"Storey",0.200583165280184,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.1,"SCOUT_safe",0.200225864448016,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.1,"SCOUT_both",0.199630369621351,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L7",5,0.2,0.35,0.1,"SCOUT_confOnly",0.199837896376696,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.01,"BH",0.0916666666666666,0.11,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.01,"Storey",0.146666666666667,0.21,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.01,"SCOUT_safe",0.190642857142857,0.28,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.01,"SCOUT_both",0.295715201465202,0.49,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.01,"SCOUT_confOnly",0.280353174603175,0.48,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.05,"BH",0.349003376901247,0.81,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.05,"Storey",0.392390228810753,0.99,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.05,"SCOUT_safe",0.39385646420494,0.99,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.05,"SCOUT_both",0.40228094887215,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.05,"SCOUT_confOnly",0.402259622266761,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.1,"BH",0.39653264090607,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.1,"Storey",0.401502401660568,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.1,"SCOUT_safe",0.401996573910501,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.1,"SCOUT_both",0.399646672699311,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L8",5,0.4,0.35,0.1,"SCOUT_confOnly",0.400752190356762,1,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.01,"BH",0.07,0.07,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.01,"Storey",0.0833333333333333,0.09,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.01,"SCOUT_safe",0.146666666666667,0.15,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.01,"SCOUT_both",0.166666666666667,0.18,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.01,"SCOUT_confOnly",0.171666666666667,0.18,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.05,"BH",0.362511904761905,0.47,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.05,"Storey",0.450038961038961,0.59,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.05,"SCOUT_safe",0.562855311355311,0.75,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.05,"SCOUT_both",0.637815614210351,0.85,"0.1,0.2,0.3",0.02,0.65,0.02,4
"L9",5,0.7,0.35,0.05,"SCOUT_confOnly",0.645044178044178,0.86,"0.1,0.2,0.3",0.02,0.65,0.02,4
